sensorid,street,street_short,town,nrlanes,direction,name,geometry,edgeid,positiononedge,km,type
119207216,,B1,Kohberg,0,1,,0101000020E610000000000000000000000000000000000000,,0,0,
723936048,,B1,Kohberg,0,2,,0101000020E610000000000000000000000000000000000000,,0,0,
-85735050,B 141 Rieder Straﬂe,B141,Kirchheim,2,2,35  Ri. Kirchheim,0101000020E610000006D28DDF4DC72A405EC8BDD83E1A4840,E304445810To,107386,33,SR
356581755,,L508,Lohnsburg,0,1,,0101000020E610000000000000000000000000000000000000,,0,0,
511118510,B 154 Mondseestraﬂe,B154,Oberhofen,2,2,31  Ri. Mondsee,0101000020E6100000F2B0BDADA99B2A401D292381DCFA4740,E304603536To,696745,4,SR
201600261,,L508,Lohnsburg,0,2,,0101000020E610000000000000000000000000000000000000,,0,0,
233586317,B 1 Wiener Straﬂe,B1,Oberharrern,2,2,14  Ri. Wels,0101000020E61000009F7C8ABF819F2B40A09A274552094840,E304274588From,893913,230,SR
352724186,B 120 Scharnsteiner Straﬂe,B120,Ranklleiten,2,1,71  Ri. Scharnstein,0101000020E6100000B3CA64A4D6FF2B4087F02BFEE8F74740,E304024191From,220645,23,SR
-34762552,B 127 Rohrbacher Straﬂe,B127,Saur¸ssel,2,1,60  Ri. Rohrbach,0101000020E6100000F46A13F073442C40B9F3253F682E4840,E304607921To,175698,16,SR
-34738010,B 127 Rohrbacher Straﬂe,B127,Saur¸ssel,2,2,60  Ri. Linz,0101000020E6100000F46A13F073442C40B9F3253F682E4840,E304607921From,574217,16,SR
180124694,B 141 Rieder Straﬂe,B141,Kirchheim,2,1,35  Ri. Ried i.I.,0101000020E610000006D28DDF4DC72A405EC8BDD83E1A4840,E304445810From,190527,33,SR
448217814,B 143 Hausruckstraﬂe,B143,Eberschwang,2,1,24  Ri. Ampelwang,0101000020E6100000F70782FA66232B4073EBED5C7D104840,E304602587To,501292,27,SR
407865405,B 143 Hausruckstraﬂe,B143,Eberschwang,2,2,24  Ri. Eberschwang,0101000020E6100000F70782FA66232B4073EBED5C7D104840,E304602587From,148665,27,SR
-15260784,,B136,Kohlberg,0,1,,0101000020E610000000000000000000000000000000000000,,0,0,
-21973784,,B136,Kohlberg,0,2,,0101000020E610000000000000000000000000000000000000,,0,0,
